transaction_id,account_id,transaction_time,amount,fraud_probability,fraud_score,anomaly_score,payment_action,expected_fraud_loss,top_reason_1,top_reason_2,top_reason_3,manual_review_priority,merchant_risk_band,fraud_flag
TXN-000001,ACCT-00724,2024-01-01 10:04:04,130.92,0.007707227241857987,0.4205540142228787,0.13294970864562225,Step-up verification,0.9081271714536427,high-risk merchant,high velocity,unusual account amount,0,medium,0
TXN-000002,ACCT-00443,2024-01-01 04:46:38,225.02,0.017174668652345373,0.6064594577328171,0.23153575283663808,Manual review,3.4781795461356806,high velocity,unusual account amount,high-risk merchant,0,low,0
TXN-000003,ACCT-00827,2024-01-01 03:01:51,38.07,0.0031254856964609582,0.25531285050586805,0.1141736139214893,Approve,0.10708851641784183,high velocity,high-risk merchant,unusual account amount,0,low,0
TXN-000004,ACCT-00468,2024-01-01 05:33:46,45.91,0.012696021312126835,0.5489288673411574,0.24149815189531904,Step-up verification,0.5245869045957686,high-risk merchant,high velocity,unusual account amount,0,high,0
TXN-000005,ACCT-00352,2024-01-01 15:25:03,22.62,0.0008087085850877626,0.06542819461306713,0.04672453797382976,Approve,0.016463689375216674,high velocity,high-risk merchant,high amount,0,low,0
TXN-000006,ACCT-00805,2024-01-01 17:58:12,92.26,0.004039736944468306,0.2871028506548421,0.09353410857628316,Approve,0.33543551744698136,high velocity,unusual account amount,high-risk merchant,0,low,0
TXN-000007,ACCT-00099,2024-01-02 15:57:22,60.79,0.003011852923804276,0.24899787108074292,0.10622582699178179,Approve,0.16478148531425574,high-risk merchant,high velocity,high amount,0,medium,0
TXN-000008,ACCT-00758,2024-01-02 10:15:10,52.2,0.03659856078207901,0.654280068766203,0.21057161660236268,Manual review,1.7194003855420719,new device,high-risk merchant,high velocity,0,medium,0
TXN-000009,ACCT-00503,2024-01-02 16:26:44,27.98,0.005117206896032588,0.35828625050586804,0.1596736139214893,Step-up verification,0.12886150405589264,high velocity,high-risk merchant,high amount,0,medium,0
TXN-000010,ACCT-00793,2024-01-02 04:29:13,741.51,0.018164408541066268,0.594237329121987,0.22515775438140975,Step-up verification,12.122181519557444,unusual account amount,high velocity,high amount,122,low,0
TXN-000011,ACCT-00572,2024-01-02 10:12:36,27.92,0.011223735997245236,0.5103473117856019,0.19339815189531903,Step-up verification,0.2820300381387783,high velocity,high-risk merchant,unusual account amount,0,medium,0
TXN-000012,ACCT-00273,2024-01-02 12:46:45,63.37,0.0021750464346708713,0.2010800518040869,0.13143510261529778,Approve,0.1240494233085838,high velocity,high-risk merchant,unusual account amount,0,low,0
TXN-000013,ACCT-00410,2024-01-02 21:53:49,417.99,0.06687156964375866,0.717315574816129,0.27315455144762946,Manual review,25.156482655855214,high-risk merchant,unusual account amount,high velocity,39,high,0
TXN-000014,ACCT-00801,2024-01-02 02:28:52,6.82,0.0064081992911205485,0.3654894444444444,0.0585,Step-up verification,0.03933352724889793,high-risk merchant,high velocity,high amount,0,medium,0
TXN-000015,ACCT-00539,2024-01-02 06:13:53,123.85,0.0021296072093396996,0.1740076254884987,0.08305964777561013,Approve,0.2373766675890496,unusual account amount,high velocity,high-risk merchant,0,low,0
TXN-000016,ACCT-00658,2024-01-02 04:29:05,33.64,0.01398670938780197,0.4956372222222221,0.0585,Step-up verification,0.4234616134250924,high-risk merchant,high velocity,high amount,0,medium,0
